IID RAW_PRS PRS
controlindv166 -5.0096172 -0.3928525
controlindv167 3.3653717 -0.6592377
controlindv168 0.635678 -0.47234517
controlindv169 0.791945000000001 -0.55264898
controlindv170 4.064206 -0.49005523
controlindv171 -4.158206 -0.4311994
controlindv172 -3.54752 -0.40427148
controlindv173 -0.466068999999999 -0.4698497
controlindv174 2.826806 -0.56744951
controlindv175 2.4655832 -0.40278356
controlindv176 -9.510275 0.04985744
controlindv177 1.244603 -0.63882438
controlindv178 4.493118 -0.63091114
controlindv179 -3.077358 -0.46686057
controlindv180 -1.997687 -0.3957862
controlindv181 0.220389 -0.6042545
controlindv182 -3.179149 -0.35765717
controlindv183 -6.941632 -0.21297304
controlindv184 -3.637233 -0.2504354
controlindv185 5.640418 -0.72888579
controlindv186 1.36535 -0.21163129
controlindv187 -3.3300108 -0.3021366
controlindv188 -7.50428 0.08147527
controlindv189 -2.3901155 -0.5572459
controlindv190 1.606297 -0.5228565
controlindv191 -2.69905 -0.52623178
controlindv192 1.378876 -0.52425652
controlindv193 -0.407642800000001 -0.56919526
controlindv194 0.468847 -0.6002246
controlindv195 2.705737 -0.2124617
controlindv196 -6.71445964 -0.4002165
controlindv197 0.0851894999999994 -0.26592553
controlindv198 -1.745777 -0.42178751
controlindv199 1.305739 -0.558562
caseindv0 0.4818551 -0.47080788
caseindv1 -8.023297 -0.2626837
caseindv2 -8.176937 -0.3269768
caseindv3 -5.637796 -0.24381
caseindv4 -4.8274954 -0.0906501
caseindv5 -0.820040000000001 -0.53034289
caseindv6 -5.0745175 -0.1078965
caseindv7 -8.531377 -0.1196269
caseindv8 -4.2408638 -0.0716099
caseindv9 -12.357252 0.00363146000000002
caseindv10 2.353723 -0.5445028
caseindv11 -2.8816734 -0.4578282
caseindv12 0.550121000000001 -0.4545431
caseindv13 -5.3236942 -0.3838803
caseindv14 -12.8970331 0.24797267
caseindv15 -0.8370086 -0.46071306
caseindv16 -0.312448000000001 -0.411495
caseindv17 -6.051764 -0.282899
caseindv18 -12.015932 0.00275583
caseindv19 0.67628996 -0.42296382
caseindv20 -7.384585 0.0261965
caseindv21 -5.0598614 -0.2656957
caseindv22 -2.727799 -0.4886643
caseindv23 -7.8806889 -0.29431792
caseindv24 -5.3538006 -0.24235
caseindv25 1.6090009 -0.5931713
