IID RAW_PRS PRS
controlindv166 -5.0096172 -0.3900638
controlindv167 3.3653717 -0.7564222
controlindv168 0.635678 -0.8191069
controlindv169 0.791945000000001 -0.8116795
controlindv170 4.064206 -0.643276
controlindv171 -4.158206 -0.535196
controlindv172 -3.54752 -0.6297463
controlindv173 -0.466068999999999 -0.4554949
controlindv174 2.826806 -0.6638161
controlindv175 2.4655832 -0.5982036
controlindv176 -9.510275 0.34306563
controlindv177 1.244603 -0.5546209
controlindv178 4.493118 -0.9379121
controlindv179 -3.077358 -0.4660686
controlindv180 -1.997687 -0.43061961
controlindv181 0.220389 -0.8210309
controlindv182 -3.179149 -0.4037069
controlindv183 -6.941632 -0.1788112
controlindv184 -3.637233 -0.2621527
controlindv185 5.640418 -1.0964525
controlindv186 1.36535 -0.35332087
controlindv187 -3.3300108 -0.2560561
controlindv188 -7.50428 0.24234745
controlindv189 -2.3901155 -0.66504314
controlindv190 1.606297 -0.6827268
controlindv191 -2.69905 -0.5822974
controlindv192 1.378876 -0.6572526
controlindv193 -0.407642800000001 -0.7931568
controlindv194 0.468847 -0.7312836
controlindv195 2.705737 -0.4443249
controlindv196 -6.71445964 -0.3853347
controlindv197 0.0851894999999994 -0.2710053
controlindv198 -1.745777 -0.5600519
controlindv199 1.305739 -0.7299053
caseindv0 0.4818551 -0.5788617
caseindv1 -8.023297 -0.1189318
caseindv2 -8.176937 -0.3998926
caseindv3 -5.637796 -0.3373924
caseindv4 -4.8274954 0.0499573999999999
caseindv5 -0.820040000000001 -0.5451939
caseindv6 -5.0745175 0.01298066
caseindv7 -8.531377 0.0997071
caseindv8 -4.2408638 -0.0422773000000001
caseindv9 -12.357252 0.31935458
caseindv10 2.353723 -0.5109461
caseindv11 -2.8816734 -0.4176417
caseindv12 0.550121000000001 -0.6132785
caseindv13 -5.3236942 -0.3564267
caseindv14 -12.8970331 0.60345404
caseindv15 -0.8370086 -0.831129
caseindv16 -0.312448000000001 -0.3915333
caseindv17 -6.051764 -0.052105
caseindv18 -12.015932 0.2255854
caseindv19 0.67628996 -0.5825884
caseindv20 -7.384585 0.141888
caseindv21 -5.0598614 -0.373117
caseindv22 -2.727799 -0.5351395
caseindv23 -7.8806889 -0.1725796
caseindv24 -5.3538006 -0.2580693
caseindv25 1.6090009 -0.9166688
caseindv26 -1.584953 -0.30977812
caseindv27 -2.093926 -0.609637
caseindv28 -5.3420816 -0.5000989
caseindv29 -3.538592 -0.318645
caseindv30 1.864958 -1.0265042
caseindv31 -5.115101 0.01084508
caseindv32 -2.997247 -0.41177441
caseindv33 -1.35275 -0.5055961
caseindv34 -0.6488 -0.4523732
caseindv35 -3.331161 -0.33154449
caseindv36 -2.808779 -0.1779577
caseindv37 -3.210239 0.04684441
caseindv38 2.57818 -0.6243369
caseindv39 2.43222743 -0.9502849
caseindv40 -0.208641 -0.7478656
caseindv41 0.3405703 -0.5163868
caseindv42 -8.691364 0.2645852729
caseindv43 -3.732135 -0.4011991
caseindv44 -0.0796030000000005 -0.5452159
caseindv45 -2.936553 -0.6063045
caseindv46 1.557572 -0.7482194
caseindv47 -3.616255 -0.4662821
caseindv48 -2.5994451 -0.6949676
caseindv49 -0.870420000000001 -0.2794395
caseindv50 -6.081939 -0.2834281
caseindv51 -0.571241000000001 -0.9701095
caseindv52 3.211909 -1.17101562
caseindv53 2.69685671 -0.8555731
caseindv54 0.816567 -0.5588448
caseindv55 -6.53194077 -0.00201209999999996
caseindv56 0.750671 -0.425858
caseindv57 -0.560386 -0.19259671
caseindv58 2.21485 -0.5668611
caseindv59 1.678417 -1.0610601
caseindv60 -7.660395 -0.1558155
caseindv61 -5.5521679 -0.6860156
caseindv62 -5.948741 -0.48350134
caseindv63 -1.757022 -0.07613013
caseindv64 -9.6691757 -0.102448
caseindv65 3.628246 -0.6738604
caseindv66 4.966707 -0.5827691
caseindv67 0.00640000000000018 -0.6995823
caseindv68 0.366766899999999 -0.2120085
caseindv69 -1.3557392 0.0663971
caseindv70 -1.397787 -0.55464119
caseindv71 -3.273673 -0.11717828
caseindv72 2.141095 -0.892975
caseindv73 -5.95592532 -0.1940056
caseindv74 0.44365 -0.4209218
caseindv75 -5.437134 0.0494375000000001
caseindv76 -5.977385 -0.0470492
caseindv77 0.266094 -0.5996743
caseindv78 2.559829 -0.6720155
caseindv79 1.001324 -0.6136648
caseindv80 -1.038117 -0.49375217
caseindv81 3.273982 -0.85814548
caseindv82 4.677036 -0.5779963
caseindv83 -10.180553 0.3902173
caseindv84 -1.06983964 -0.553049
caseindv85 -4.562372 -0.09577231
caseindv86 -2.262156 -0.2243934
caseindv87 -3.971587 -0.6400286
caseindv88 5.910607 -0.7186982
caseindv89 -3.299311 0.092050319
caseindv90 -8.9502893 0.0733441
caseindv91 0.4790771 -0.3272
caseindv92 -9.482189 0.075701413
caseindv93 -2.3818188 -0.1540851
caseindv94 0.8523646 -0.6994663
caseindv95 -3.6766957 -0.3579976
caseindv96 -5.70562115 -0.5242919
caseindv97 -2.896863 -0.0315735
caseindv98 1.845435 -0.8959534
caseindv99 -1.471089 -0.3951135
caseindv100 3.3950973 -0.6908461
caseindv101 -5.3976169 -0.0367165
caseindv102 0.878074100000001 -0.16670857
caseindv103 -6.7280354 -0.0191713000000001
caseindv104 -6.340697 -0.4268172
caseindv105 6.501106 -1.1729165
caseindv106 3.3558143 -0.987074
caseindv107 -6.503681 -0.3796439
caseindv108 -3.027623 -0.4084808
caseindv109 -3.4432329 -0.2762266
caseindv110 -5.080261 -0.00581232000000004
caseindv111 2.391288 -0.9374826
caseindv112 2.136008 -0.8287171
caseindv113 6.014309 -1.14818988
caseindv114 -2.711908 -0.3602654
caseindv115 3.485873 -0.2911485
caseindv116 -5.2425869 -0.039839
caseindv117 4.039285 -0.776625
caseindv118 0.0396115999999989 -0.6387898
caseindv119 0.93407 -0.7384019
caseindv120 -2.221526 -0.2249687
caseindv121 2.631877 -0.7939604
caseindv122 1.1775779 -0.7415811
caseindv123 -0.4824443 -0.6225638
caseindv124 -3.278832 -0.3039181
caseindv125 0.476724 -0.5133667
caseindv126 -1.331166 -0.3694195
caseindv127 -5.909767 -0.5537035
caseindv128 2.406417 -0.2846028
caseindv129 2.740721 -1.0052391
caseindv130 -3.19093653 -0.0740694
caseindv131 1.3489822 -0.87347854
caseindv132 -1.199388 -0.2857754
caseindv133 -0.505983000000001 -0.704038
caseindv134 -2.546537 -0.3291807
caseindv135 0.9849642 -0.3367425
caseindv136 0.2803774 -0.5861823
caseindv137 -0.126595 -0.5179723
caseindv138 -0.1177267 -1.1057805
caseindv139 2.48714685 -0.3250644
caseindv140 -8.3499088 0.0279394
caseindv141 -3.5762431 -0.3616245
caseindv142 -2.443041 0.0708404000000001
caseindv143 1.9307194 -0.24936591
caseindv144 -7.3283976 -0.2622673
caseindv145 -4.5251769 -0.0285636
caseindv146 1.1666268 -0.43198598
caseindv147 -3.0902562 -0.55664757
caseindv148 1.5512898 -0.5836372
caseindv149 0.0319349999999989 -0.4842157
caseindv150 -3.795996 -0.1411994
caseindv151 -4.7033214 -0.10128745
caseindv152 5.956885 -0.9255396
caseindv153 4.368128 -1.1056747
caseindv154 -6.436527 -0.1745441
caseindv155 -3.0564168 -0.1369071
caseindv156 -4.2623501 -0.39324818
caseindv157 0.459227 -0.85572941
caseindv158 4.258003 -1.2007734
caseindv159 -1.987327 -0.3237452
caseindv160 2.84594 -0.7152261
caseindv161 -4.2121696 0.0860915
caseindv162 0.099886699999999 -0.7003173
caseindv163 3.3207874 -1.0815234
caseindv164 -0.710327 -0.4583773
caseindv165 0.9149998 -0.76911869
caseindv166 -5.0096172 -0.3900638
caseindv167 3.3653717 -0.7564222
caseindv168 0.635678 -0.8191069
caseindv169 0.791945000000001 -0.8116795
caseindv170 4.064206 -0.643276
caseindv171 -4.158206 -0.535196
caseindv172 -3.54752 -0.6297463
caseindv173 -0.466068999999999 -0.4554949
caseindv174 2.826806 -0.6638161
caseindv175 2.4655832 -0.5982036
caseindv176 -9.510275 0.34306563
caseindv177 1.244603 -0.5546209
caseindv178 4.493118 -0.9379121
caseindv179 -3.077358 -0.4660686
caseindv180 -1.997687 -0.43061961
caseindv181 0.220389 -0.8210309
caseindv182 -3.179149 -0.4037069
caseindv183 -6.941632 -0.1788112
caseindv184 -3.637233 -0.2621527
caseindv185 5.640418 -1.0964525
caseindv186 1.36535 -0.35332087
caseindv187 -3.3300108 -0.2560561
caseindv188 -7.50428 0.24234745
caseindv189 -2.3901155 -0.66504314
caseindv190 1.606297 -0.6827268
caseindv191 -2.69905 -0.5822974
caseindv192 1.378876 -0.6572526
caseindv193 -0.407642800000001 -0.7931568
caseindv194 0.468847 -0.7312836
caseindv195 2.705737 -0.4443249
caseindv196 -6.71445964 -0.3853347
caseindv197 0.0851894999999994 -0.2710053
caseindv198 -1.745777 -0.5600519
caseindv199 1.305739 -0.7299053
