Category,Trait,Broad H2,SE broad,Narrow h2,SE narrow,Var Age (%),Var Gender (%),N SNPs,% of phenotypic variance explained,% of heritability explained
Tregs,activated CD4+ Treg %GP,0.78,0.142,0.132,0.078,3.9,4.6,-,-,-
Tregs,CD39+ activated CD4+ Treg AC,0.909,0.09,0.582,0.078,0.1,0.7,2,40.37,69.37
Tregs,CD39+ activated CD4+ Treg %P,0.847,0.099,0.845,0.069,0.1,0,2,63.68,75.32
Tregs,CD39+ activated CD4+ Treg %GP,0.913,0.084,0.69,0.075,2,0.6,1,45.37,65.75
Tregs,secreting CD4+ Treg AC,0.734,0.139,0.431,0.079,0.1,0,-,-,-
Tregs,secreting CD4+ Treg %P,0.805,0.128,0.444,0.079,6.9,0.2,1,4.09,9.21
Tregs,secreting CD4+ Treg %GP,0.785,0.134,0.399,0.079,3.4,1.9,1,2.61,6.55
Tregs,CD39+ secreting CD4+ Treg AC,0.767,0.121,0.726,0.074,0.3,0,2,48.73,67.16
Tregs,CD39+ secreting CD4+ Treg %P,0.773,0.117,0.773,0.072,1.2,0,1,55.28,71.48
Tregs,CD39+ secreting CD4+ Treg %GP,0.808,0.11,0.808,0.07,3,0,2,56.55,69.96
Tregs,CD39+ CD4+ Treg AC,0.853,0.108,0.658,0.076,0.2,0.2,2,45.99,69.85
Tregs,CD39+ CD4+ Treg %P,0.808,0.11,0.808,0.07,3.6,0.1,1,53.59,66.31
Tregs,CD39+ CD4+ Treg %GP,0.902,0.085,0.766,0.073,2.7,1,1,48.65,63.54
Tregs,secreting & activated CD4+ Treg AC,0.763,0.136,0.436,0.079,0,0.2,-,-,-
Tregs,secreting & activated CD4+ Treg %P,0.826,0.121,0.515,0.078,16.6,0.3,1,3.51,6.81
Tregs,secreting & activated CD4+ Treg %GP,0.797,0.134,0.321,0.079,4.4,3.3,-,-,-
Tregs,CD39+ (secreting & activated) CD4+ Treg AC,0.848,0.108,0.69,0.075,0.2,0.2,2,46.65,67.62
Tregs,CD39+ (secreting & activated) CD4+ Treg %P,0.865,0.093,0.865,0.069,3.5,0,1,53.73,62.13
Tregs,CD39+ (secreting & activated) CD4+ Treg %GP,0.921,0.077,0.778,0.073,2.8,0.9,1,49.03,62.99
Tregs,resting & activated CD4+ Treg AC,0.821,0.124,0.475,0.079,5.8,0.2,-,-,-
Tregs,resting & activated CD4+ Treg %P,0.806,0.129,0.43,0.079,6.4,0.2,1,4.11,9.57
Tregs,resting & activated CD4+ Treg %GP,0.866,0.114,0.321,0.079,1.7,2.5,-,-,-
Tregs,CD39+ (resting & activated) CD4+ Treg AC,0.895,0.096,0.586,0.078,0,0.7,1,40.22,68.64
Tregs,CD39+ (resting & activated) CD4+ Treg %P,0.925,0.079,0.691,0.076,1.7,0.6,1,47.37,68.52
General leukocytes,CD4+ not Treg AC,0.561,0.128,0.484,0.078,3.8,1.1,-,-,-
General leukocytes,CD4+ not Treg %P,0.851,0.119,0.336,0.079,0.4,3.5,-,-,-
General leukocytes,CD4+ not Treg %GP,0.645,0.136,0.474,0.078,0.7,2.2,-,-,-
T cell maturation stages,naive CD4+ AC,0.607,0.127,0.607,0.076,15.2,2,-,-,-
T cell maturation stages,naive CD4+ %P,0.92,0.083,0.649,0.076,16.3,1.5,-,-,-
T cell maturation stages,naive CD4+ %GP,0.823,0.118,0.607,0.077,10.4,2.4,-,-,-
T cell maturation stages,CM CD4+ AC,0.54,0.126,0.479,0.078,0.1,0,-,-,-
T cell maturation stages,CM CD4+ %P,0.89,0.104,0.384,0.079,8.7,1.6,1,4.03,10.5
T cell maturation stages,CM CD4+ %GP,0.761,0.136,0.444,0.079,7.7,0.2,1,3,6.76
T cell maturation stages,EM CD4+ AC,0.624,0.139,0.419,0.079,0,0.1,-,-,-
T cell maturation stages,EM CD4+ %P,0.562,0.128,0.493,0.077,5.2,0.4,-,-,-
T cell maturation stages,EM CD4+ %GP,0.475,0.116,0.475,0.077,6.5,0,-,-,-
T cell maturation stages,TD CD4+ AC,0.628,0.142,0.352,0.08,2.6,0.6,1,3.31,9.41
T cell maturation stages,TD CD4+ %P,0.572,0.136,0.338,0.079,0.9,0.2,1,4.58,13.55
T cell maturation stages,TD CD4+ %GP,0.565,0.136,0.327,0.079,0.7,0.5,1,4.64,14.21
T cell maturation stages,CD45RA- CD4+ AC,0.579,0.131,0.489,0.078,0.2,0,-,-,-
T cell maturation stages,CD45RA- CD4+ %P,0.8,0.12,0.662,0.075,15.4,1.7,1,2.74,4.13
T cell maturation stages,CD45RA- CD4+ %GP,0.758,0.126,0.657,0.075,14.1,0.1,-,-,-
T cell maturation stages,CD45RA+ CD4+ AC,0.648,0.131,0.588,0.076,13,2,-,-,-
T cell maturation stages,CD45RA+ CD4+ %P,0.838,0.114,0.613,0.077,13.5,1.5,1,2.38,3.88
T cell maturation stages,CD45RA+ CD4+ %GP,0.76,0.131,0.55,0.077,8.2,2.4,1,2.07,3.77
T cell maturation stages,CD45RA- CD4+ not Treg AC,0.571,0.131,0.453,0.078,0.1,0.1,-,-,-
T cell maturation stages,CD45RA- CD4+ not Treg %P,0.846,0.112,0.608,0.077,12.9,1.1,1,2.37,3.89
T cell maturation stages,CD45RA- CD4+ not Treg %GP,0.819,0.116,0.663,0.075,12.4,0,-,-,-
T cell maturation stages,CD45RA+ CD4+ not Treg AC,0.642,0.13,0.588,0.076,12.7,2.1,-,-,-
T cell maturation stages,CD45RA+ CD4+ not Treg %P,0.842,0.113,0.615,0.077,13.1,1.7,1,2.33,3.79
T cell maturation stages,CD45RA+ CD4+ not Treg %GP,0.747,0.132,0.553,0.077,8,2.6,1,2.05,3.71
T cell maturation stages,CD45RA- CD25hi CD4+ not Treg AC,0.679,0.137,0.503,0.078,0.4,0,1,2.35,4.67
T cell maturation stages,CD45RA- CD25hi CD4+ not Treg %P,0.748,0.14,0.354,0.079,0.8,1.1,1,2.56,7.22
T cell maturation stages,CD45RA- CD25hi CD4+ not Treg %GP,0.784,0.133,0.415,0.079,1.1,0.2,-,-,-
T cell maturation stages,CD45RA+ CD25hi CD4+ not Treg AC,0.844,0.118,0.456,0.079,0,0.3,-,-,-
T cell maturation stages,CD45RA+ CD25hi CD4+ not Treg %P,0.838,0.123,0.339,0.079,0.5,0,1,2.06,6.08
T cell maturation stages,CD45RA+ CD25hi CD4+ not Treg %GP,0.826,0.127,0.331,0.079,0.6,0.2,-,-,-
T cell maturation stages,naive CD8br AC,0.453,0.115,0.454,0.078,54.3,0.5,-,-,-
T cell maturation stages,naive CD8br %P,0.676,0.14,0.428,0.079,45.4,1.3,-,-,-
T cell maturation stages,naive CD8br %GP,0.476,0.116,0.476,0.077,55.2,0.3,-,-,-
T cell maturation stages,CM CD8br AC,0.37,0.104,0.37,0.078,0.4,0.4,-,-,-
T cell maturation stages,CM CD8br %P,0.33,0.098,0.329,0.077,1.7,0,-,-,-
T cell maturation stages,CM CD8br %GP,0.387,0.106,0.387,0.077,0.5,0.8,-,-,-
T cell maturation stages,EM CD8br AC,0.686,0.14,0.37,0.08,0.1,0.5,1,3.14,8.5
T cell maturation stages,EM CD8br %P,0.745,0.139,0.411,0.079,12.9,0,2,9.2,22.38
T cell maturation stages,EM CD8br %GP,0.807,0.127,0.451,0.079,3.6,1,1,3.72,8.23
T cell maturation stages,TD CD8br AC,0.403,0.108,0.403,0.078,2.4,0.9,1,2.5,6.21
T cell maturation stages,TD CD8br %P,0.463,0.116,0.442,0.077,13.1,0.6,1,5.22,11.79
T cell maturation stages,TD CD8br %GP,0.452,0.114,0.452,0.077,7.1,1.4,1,3.36,7.42
T cell maturation stages,CD45RA- CD8br AC,0.707,0.143,0.377,0.08,0.1,0.6,1,3.15,8.36
T cell maturation stages,CD45RA- CD8br %P,0.785,0.132,0.454,0.079,15.5,0.1,2,10.15,22.35
T cell maturation stages,CD45RA- CD8br %GP,0.845,0.117,0.479,0.079,4.3,1.2,1,3.53,7.37
